,Baseline DJIA,Baseline Max Sharpe,EXPERIMENT_6_1678606705_1850000,EXPERIMENT_6_1678606705_2250000,EXPERIMENT_6_1678606705_2950000,EXPERIMENT_8_1678691302_1000000,EXPERIMENT_8_1678691302_2560000,EXPERIMENT_9_1678768311_1000000
2014-06-09,0.0011120303659533,0.0012408242970729,,,,,,
2014-06-10,0.0001664578834466,0.0057518669137779,,,,,,
2014-06-11,-0.0060214531267954,-0.0071861376688893,,,,,,
2014-06-12,-0.0065122406864417,-0.0095527710605522,,,,,,
2014-06-13,0.002482987381396,0.0152041170349566,,,,,,
2014-06-16,0.0003141161687281,0.0051629882992921,,,,,,
2014-06-17,0.001637593275602,-0.0022282258783584,,,,,,
2014-06-18,0.0058380559396891,0.0024478506419135,,,,,,
2014-06-19,0.0008778690021671,0.0042615712984758,,,,,,
2014-06-20,0.0015140028818803,0.0030318651663501,,,,,,
2014-06-23,-0.0005794692923341,-0.001536980742207,,,,,,
2014-06-24,-0.0070335407201923,0.002199853071317,,,,,,
2014-06-25,0.0029360519705121,0.0098352981849683,,,,,,
2014-06-26,-0.0012674607305441,-0.0009530377659951,,,,,,
2014-06-27,0.0003388899458669,0.0007586406148143,,,,,,
2014-06-30,-0.0014977732169915,-0.0007004221576316,,,,,,
2014-07-01,0.0076944068398028,0.0068387374077403,,,,,,
2014-07-02,0.0011895398817809,-0.0001160431952396,,,,,,
2014-07-03,0.0054204894593603,0.0015165240460151,,,,,,
2014-07-07,-0.0025807451216387,0.0070972314121415,,,,,,
2014-07-08,-0.0069073272944459,-0.0071785243720889,,,,,,
2014-07-09,0.0046721484477754,0.0023994770908343,,,,,,
2014-07-10,-0.0041528720543768,0.003054003241171,,,,,,
2014-07-11,0.0016990904468048,-0.0012981495303163,,,,,,
2014-07-14,0.0065870292099425,0.0079718132988705,,,,,,
2014-07-15,0.0003083926194191,-0.0026564111930736,,,,,,
2014-07-16,0.0045437539810795,0.0446031889599361,,,,,,
2014-07-17,-0.009416897879121,-0.0228123326867384,,,,,,
2014-07-18,0.0072669209734279,0.0057103210170197,,,,,,
2014-07-21,-0.002833257874209,0.0044235656939994,,,,,,
2014-07-22,0.0036247695718198,0.0125461096375732,,,,,,
2014-07-23,-0.0015723342218537,0.0025267325903435,,,,,,
2014-07-24,-0.000165631138654,-0.0045979903789486,,,,,,
2014-07-25,-0.0072132934777165,0.00228566337193,,,,,,
2014-07-28,0.0012982777609649,0.004357601338367,,,,,,
2014-07-29,-0.0041501602169317,-0.0033544029194359,,,,,,
2014-07-30,-0.0018773530430765,0.00321290790488,,,,,,
2014-07-31,-0.0187826921635073,-0.020054203562764,,,,,,
2014-08-01,-0.0042220836020899,0.0003618499601102,,,,,,
2014-08-04,0.0046024651241829,0.0017097914613248,,,,,,
2014-08-05,-0.0084378198499175,-0.0170568530976614,,,,,,
2014-08-06,0.000844162351643,0.0001699882753579,,,,,,
2014-08-07,-0.0045653932360057,-0.0042781255552617,,,,,,
2014-08-08,0.0113426868915826,0.0023293690803351,,,,,,
2014-08-11,0.0009696054986942,0.0117245500967835,,,,,,
2014-08-12,-0.0005697898236999,0.0007482041849385,,,,,,
2014-08-13,0.0055107939666441,0.0209402050355487,,,,,,
2014-08-14,0.0037100670183709,-0.0013180179483208,,,,,,
2014-08-15,-0.0030316617767199,0.0052741436546847,,,,,,
2014-08-18,0.0105521830506329,0.0095123610404475,,,,,,
2014-08-19,0.0048014048705349,0.0045527538134817,,,,,,
2014-08-20,0.0035190578598449,0.0021204477146978,,,,,,
2014-08-21,0.0035549154724061,0.0084985536729508,,,,,,
2014-08-22,-0.0022459316988718,-0.0010033509129159,,,,,,
2014-08-25,0.0044495885807831,0.0007974629147893,,,,,,
2014-08-26,0.0017468118938754,-0.0020115939846556,,,,,,
2014-08-27,0.0008950029856267,0.0052050053924288,,,,,,
2014-08-28,-0.0024786490433035,-0.0009130576692982,,,,,,
2014-08-29,0.0011053501876556,0.0045040135288236,,,,,,
2014-09-02,-0.0018065189117342,-0.0007378285564846,,,,,,
2014-09-03,0.0006280188648262,-0.0175137571549778,,,,,,
2014-09-04,-0.0005093732570348,0.000518810058131,,,,,,
2014-09-05,0.0039707653360412,0.0042247800185166,,,,,,
2014-09-08,-0.0015136201883494,0.0017694168000427,,,,,,
2014-09-09,-0.0057009167968166,-0.0061646920105584,,,,,,
2014-09-10,0.0032233583332348,0.0135039703516948,,,,,,
2014-09-11,-0.0011547994205406,0.001744195415859,,,,,,
2014-09-12,-0.0036066768945393,-0.0063144437109882,,,,,,
2014-09-15,0.0025684081997285,-0.0008271065024746,,,,,,
2014-09-16,0.0059203361856452,0.0024427356601019,,,,,,
2014-09-17,0.0014521917344547,0.0034145646563641,,,,,,
2014-09-18,0.0063613441561183,0.0042501170769462,,,,,,
2014-09-19,0.0007963632443521,-0.0055788489786619,,,,,,
2014-09-22,-0.0061957266384145,-0.0002857800056975,,,,,,
2014-09-23,-0.0068021152784923,0.0006787459304255,,,,,,
2014-09-24,0.0090403722600529,0.0034133784192178,,,,,,
